@RELATION data

@ATTRIBUTE AvgCyclomatic NUMERIC
@ATTRIBUTE AvgCyclomaticModified NUMERIC
@ATTRIBUTE AvgCyclomaticStrict NUMERIC
@ATTRIBUTE AvgEssential NUMERIC
@ATTRIBUTE AvgLine NUMERIC
@ATTRIBUTE AvgLineBlank NUMERIC
@ATTRIBUTE AvgLineCode NUMERIC
@ATTRIBUTE AvgLineComment NUMERIC
@ATTRIBUTE CountLine NUMERIC
@ATTRIBUTE CountLineBlank NUMERIC
@ATTRIBUTE CountLineCode NUMERIC
@ATTRIBUTE CountLineCodeDecl NUMERIC
@ATTRIBUTE CountLineCodeExe NUMERIC
@ATTRIBUTE CountLineComment NUMERIC
@ATTRIBUTE CountSemicolon NUMERIC
@ATTRIBUTE CountStmt NUMERIC
@ATTRIBUTE CountStmtDecl NUMERIC
@ATTRIBUTE CountStmtExe NUMERIC
@ATTRIBUTE MaxCyclomatic NUMERIC
@ATTRIBUTE MaxCyclomaticModified NUMERIC
@ATTRIBUTE MaxCyclomaticStrict NUMERIC
@ATTRIBUTE RatioCommentToCode NUMERIC
@ATTRIBUTE SumCyclomatic NUMERIC
@ATTRIBUTE SumCyclomaticModified NUMERIC
@ATTRIBUTE SumCyclomaticStrict NUMERIC
@ATTRIBUTE SumEssential NUMERIC
@ATTRIBUTE contains_bug {TRUE,FALSE}
@ATTRIBUTE author_date_unix_timestamp NUMERIC
@ATTRIBUTE project_no NUMERIC
@ATTRIBUTE commit_type NUMERIC

@DATA
4,4,5,2,23,2,19,2,484,63,358,129,232,62,144,205,71,134,14,14,15,0.17,65,65,77,37,FALSE,1e+09,0,3
6,6,7,2,36,2,32,0,533,45,397,95,274,59,185,250,56,194,30,30,35,0.15,67,67,73,32,FALSE,1e+09,0,3
8,8,11,3,45,4,39,3,987,99,766,191,525,126,314,441,100,341,36,36,54,0.16,133,133,179,60,FALSE,1e+09,0,3
0,0,0,0,0,0,0,0,644,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1e+09,0,0
6,6,8,3,47,6,34,5,1235,154,709,166,477,143,382,483,116,367,26,26,37,0.2,115,115,153,65,FALSE,1e+09,0,3
6,5,6,2,37,4,28,4,1295,172,828,146,578,212,453,610,123,487,20,20,27,0.26,155,132,173,60,TRUE,1e+09,0,0
5,5,6,3,36,5,26,4,4619,675,3010,684,2037,625,1312,1828,420,1408,36,36,49,0.21,550,550,649,342,FALSE,1e+09,0,3
1,1,1,1,6,0,5,0,55,7,26,15,16,18,7,10,4,6,2,2,2,0.69,4,4,4,3,TRUE,1e+09,0,0
5,5,5,2,34,2,26,6,566,43,285,70,186,229,129,175,46,129,15,15,17,0.8,46,45,52,29,FALSE,1e+09,0,3
3,3,3,2,43,3,18,4,593,54,222,50,128,67,85,123,30,93,9,9,10,0.3,37,39,39,29,FALSE,1e+09,0,3
6,6,7,1,34,3,28,3,567,95,355,77,244,129,252,313,73,240,19,19,25,0.36,66,61,74,21,TRUE,1e+09,0,0
25,11,26,11,100,20,71,11,401,81,212,15,174,114,134,209,11,198,67,25,68,0.54,75,33,78,33,TRUE,1e+09,0,0
3,3,3,2,27,3,15,3,416,51,176,55,108,107,86,112,36,76,9,9,9,0.61,26,26,27,23,FALSE,1e+09,0,3
2,2,2,1,16,2,12,2,137,22,81,43,50,26,39,47,24,23,3,3,3,0.32,8,8,8,5,FALSE,1e+09,0,3
3,3,3,1,17,3,14,0,288,52,193,69,123,39,111,136,48,88,6,6,7,0.2,32,32,36,20,TRUE,1e+09,0,0
2,2,2,1,10,1,9,0,74,10,43,19,25,15,18,23,8,15,2,2,2,0.35,6,6,6,4,TRUE,1e+09,0,0
3,3,3,1,28,3,22,3,351,43,245,64,165,62,144,174,63,111,7,7,8,0.25,33,33,36,19,TRUE,1e+09,0,0
2,2,2,1,14,2,11,2,101,11,48,23,30,41,14,20,10,10,3,3,3,0.85,6,6,7,3,FALSE,1e+09,0,3
1,1,1,1,11,2,8,0,192,43,91,44,53,51,42,54,26,28,2,2,2,0.56,12,12,12,9,FALSE,1e+09,0,3
5,4,6,2,32,5,23,4,2045,365,1326,313,840,320,632,868,200,668,42,31,61,0.24,262,251,315,134,FALSE,1e+09,0,3
8,8,9,7,77,9,48,19,377,46,206,37,143,120,97,131,24,107,27,26,29,0.58,33,32,35,29,TRUE,1e+09,0,0
4,4,5,1,16,1,14,1,199,19,96,18,71,44,44,75,18,57,7,7,8,0.46,31,31,32,11,FALSE,1e+09,0,3
2,2,2,1,17,3,14,0,171,30,113,39,60,17,71,84,30,54,3,3,4,0.15,13,13,14,9,TRUE,1e+09,0,0
3,3,4,2,18,1,16,1,449,43,260,61,157,59,136,191,49,142,7,7,10,0.23,53,51,62,35,TRUE,1e+09,0,0
3,3,3,1,14,1,12,1,112,17,69,16,37,22,35,50,16,34,4,4,4,0.32,16,15,17,11,FALSE,1e+09,0,3
3,3,3,2,18,3,14,1,160,29,98,51,58,25,46,59,26,33,8,8,9,0.26,13,13,14,10,FALSE,1e+09,0,3
6,6,11,1,47,4,35,9,575,60,381,65,245,135,179,243,50,193,23,23,61,0.35,70,70,124,21,FALSE,1e+09,0,3
8,8,8,4,36,3,29,5,2518,164,1059,193,752,1284,567,840,125,715,30,30,36,1.21,280,270,295,156,FALSE,1e+09,0,3
2,2,2,1,39,1,26,11,240,20,137,27,94,81,95,105,21,84,6,6,7,0.59,10,10,11,9,TRUE,1e+09,0,0
5,5,6,2,39,4,30,5,181,24,114,38,73,37,52,67,23,44,13,13,17,0.32,15,15,19,8,FALSE,1e+09,0,3
10,8,11,6,38,6,30,2,225,54,132,35,78,30,87,125,31,94,23,15,24,0.23,39,31,44,25,TRUE,1e+09,0,0
2,2,3,1,19,1,12,0,465,50,234,51,129,56,112,151,39,112,10,10,12,0.24,43,43,49,23,FALSE,1e+09,0,3
1,1,1,1,9,0,9,0,37,3,9,6,1,21,1,2,1,1,1,1,1,2.33,1,1,1,1,TRUE,1e+09,0,0
1,1,1,1,4,0,4,0,29,3,5,2,2,15,2,3,2,1,1,1,1,3,1,1,1,1,TRUE,1e+09,0,0
42,31,50,27,232,36,139,41,5185,845,2683,267,1934,1203,1453,2224,197,2027,318,223,371,0.45,806,586,953,526,TRUE,1e+09,0,0
0,0,0,0,0,0,0,0,1728,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1e+09,0,3
8,8,9,3,48,3,42,5,457,41,331,70,216,88,160,218,38,180,25,25,26,0.27,58,58,61,27,FALSE,1e+09,0,3
6,6,7,3,43,8,34,2,497,107,321,72,203,43,202,255,68,187,31,31,34,0.13,57,57,62,27,TRUE,1e+09,0,0
6,6,7,3,45,5,35,7,1346,186,930,126,641,259,1606,582,112,470,19,19,22,0.28,156,148,178,99,FALSE,1e+09,0,3
12,11,18,9,71,11,56,4,312,45,186,36,136,82,80,116,20,96,20,17,37,0.44,35,32,53,28,TRUE,1e+09,0,0
10,10,15,1,118,10,58,37,619,59,282,80,210,187,130,168,33,135,29,29,50,0.66,38,38,60,7,FALSE,1e+09,0,3
5,5,5,2,39,4,30,3,2045,260,1369,273,938,291,744,945,222,723,23,23,24,0.21,216,204,230,106,FALSE,1e+09,0,3
6,5,7,4,4.29497e+09,3,21,1,304,47,211,72,140,35,97,142,43,99,13,10,15,0.17,45,41,51,31,TRUE,1e+09,0,0
12,11,14,4,82,5,61,7,2195,165,1185,191,907,328,719,916,178,738,51,51,56,0.28,221,197,246,81,FALSE,1e+09,0,3
7,7,8,5,57,6,39,12,243,31,119,21,78,80,57,77,19,58,10,10,14,0.67,20,20,24,16,TRUE,1e+09,0,0
1,1,1,1,5,0,5,0,33,4,9,3,2,15,2,4,2,2,1,1,1,1.67,2,2,2,2,TRUE,1e+09,0,0
4,4,4,3,20,2,18,0,120,14,71,12,50,29,29,44,12,32,5,5,5,0.41,15,15,15,13,FALSE,1e+09,0,3
1,1,1,1,6,1,5,0,44,5,20,15,12,15,3,5,3,2,1,1,1,0.75,1,1,1,1,TRUE,1e+09,0,0
6,6,7,4,61,5,47,8,462,43,330,57,243,79,201,244,57,187,15,15,16,0.24,44,44,47,31,FALSE,1e+09,0,3
0,0,0,0,0,0,0,0,553,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1e+09,0,0
9,9,10,5,65,7,49,6,1117,138,753,197,548,190,357,416,105,311,40,40,45,0.25,117,114,131,73,FALSE,1e+09,0,3
2,2,2,1,20,1,12,6,1313,98,385,105,244,773,340,270,79,191,12,12,13,2.01,52,52,53,33,TRUE,1e+09,0,0
2,2,3,1,13,1,12,1,290,38,198,52,105,42,97,135,42,93,7,7,7,0.21,38,38,43,29,TRUE,1e+09,0,0
6,5,6,2,47,5,31,8,1355,159,732,128,510,263,388,517,107,410,27,27,30,0.36,131,119,139,54,FALSE,1e+09,0,3
2,2,2,1,9,1,8,0,138,18,76,32,47,38,26,36,15,21,3,3,3,0.5,11,11,12,7,FALSE,1e+09,0,3
3,3,3,2,24,2,17,3,963,109,638,217,390,198,317,401,132,269,11,11,11,0.31,85,85,92,71,FALSE,1e+09,0,3
5,5,8,5,52,7,34,2,145,19,77,19,60,25,38,48,10,38,9,9,14,0.32,10,10,15,10,TRUE,1e+09,0,0
6,6,7,3,40,4,30,4,890,94,603,141,403,92,281,370,106,264,20,20,24,0.15,108,108,123,67,FALSE,1e+09,0,3
1,1,1,1,6,1,6,0,45,5,21,12,15,15,4,6,3,3,1,1,1,0.71,2,2,2,2,TRUE,1e+09,0,0
