@RELATION EQ

@ATTRIBUTE AvgCyclomatic NUMERIC
@ATTRIBUTE AvgCyclomaticModified NUMERIC
@ATTRIBUTE AvgCyclomaticStrict NUMERIC
@ATTRIBUTE AvgEssential NUMERIC
@ATTRIBUTE AvgLine NUMERIC
@ATTRIBUTE AvgLineBlank NUMERIC
@ATTRIBUTE AvgLineCode NUMERIC
@ATTRIBUTE AvgLineComment NUMERIC
@ATTRIBUTE CountLine NUMERIC
@ATTRIBUTE CountLineBlank NUMERIC
@ATTRIBUTE CountLineCode NUMERIC
@ATTRIBUTE CountLineCodeDecl NUMERIC
@ATTRIBUTE CountLineCodeExe NUMERIC
@ATTRIBUTE CountLineComment NUMERIC
@ATTRIBUTE CountSemicolon NUMERIC
@ATTRIBUTE CountStmt NUMERIC
@ATTRIBUTE CountStmtDecl NUMERIC
@ATTRIBUTE CountStmtExe NUMERIC
@ATTRIBUTE MaxCyclomatic NUMERIC
@ATTRIBUTE MaxCyclomaticModified NUMERIC
@ATTRIBUTE MaxCyclomaticStrict NUMERIC
@ATTRIBUTE RatioCommentToCode NUMERIC
@ATTRIBUTE SumCyclomatic NUMERIC
@ATTRIBUTE SumCyclomaticModified NUMERIC
@ATTRIBUTE SumCyclomaticStrict NUMERIC
@ATTRIBUTE SumEssential NUMERIC
@ATTRIBUTE contains_bug {FALSE,TRUE}
@ATTRIBUTE author_date_unix_timestamp NUMERIC
@ATTRIBUTE project_no NUMERIC
@ATTRIBUTE commit_type NUMERIC

@DATA
12.0,11.0,14.0,4.0,82.0,5.0,61.0,7.0,2195.0,165.0,1185.0,191.0,907.0,328.0,719.0,916.0,178.0,738.0,51.0,51.0,56.0,0.28,221.0,197.0,246.0,81.0,TRUE,1063070644.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,1063071102.0,0.0,0.0
8.0,7.0,9.0,4.0,54.0,4.0,49.0,1.0,1945.0,209.0,1607.0,185.0,1096.0,65.0,19001.0,1049.0,172.0,877.0,45.0,26.0,45.0,0.04,256.0,217.0,277.0,128.0,TRUE,1063155353.0,0.0,3.0
5.0,5.0,6.0,2.0,37.0,5.0,27.0,5.0,1159.0,171.0,727.0,137.0,522.0,236.0,397.0,526.0,112.0,414.0,25.0,25.0,30.0,0.32,134.0,122.0,146.0,63.0,FALSE,1063302777.0,0.0,0.0
2.0,2.0,2.0,1.0,21.0,1.0,9.0,3.0,166.0,15.0,55.0,13.0,26.0,40.0,20.0,30.0,10.0,20.0,4.0,5.0,4.0,0.73,9.0,10.0,9.0,10.0,FALSE,1063302914.0,0.0,0.0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,266.0,1.0,3.0,1.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.67,1.0,1.0,1.0,1.0,FALSE,1063303507.0,0.0,0.0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,29.0,3.0,5.0,2.0,2.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,FALSE,1063876335.0,0.0,0.0
2.0,2.0,2.0,1.0,17.0,3.0,14.0,0.0,171.0,30.0,113.0,39.0,60.0,17.0,71.0,84.0,30.0,54.0,3.0,3.0,4.0,0.15,13.0,13.0,14.0,9.0,FALSE,1063878776.0,0.0,0.0
3.0,3.0,3.0,1.0,19.0,0.0,14.0,5.0,290.0,24.0,160.0,45.0,78.0,98.0,85.0,114.0,34.0,80.0,8.0,8.0,11.0,0.61,29.0,29.0,33.0,18.0,FALSE,1063988232.0,0.0,0.0
2.0,2.0,3.0,1.0,13.0,1.0,12.0,1.0,290.0,38.0,198.0,52.0,105.0,42.0,97.0,135.0,42.0,93.0,7.0,7.0,7.0,0.21,38.0,38.0,43.0,29.0,FALSE,1063995637.0,0.0,0.0
5.0,5.0,7.0,3.0,44.0,4.0,31.0,9.0,311.0,35.0,185.0,34.0,122.0,89.0,94.0,124.0,28.0,96.0,15.0,14.0,24.0,0.48,30.0,28.0,39.0,19.0,TRUE,1063995653.0,0.0,3.0
6.0,6.0,11.0,1.0,47.0,4.0,35.0,9.0,575.0,60.0,381.0,65.0,245.0,135.0,179.0,243.0,50.0,193.0,23.0,23.0,61.0,0.35,70.0,70.0,124.0,21.0,TRUE,1064019941.0,0.0,3.0
5.0,5.0,5.0,1.0,58.0,4.0,36.0,18.0,110.0,7.0,36.0,8.0,20.0,51.0,23.0,28.0,8.0,20.0,5.0,5.0,5.0,1.42,5.0,5.0,5.0,1.0,FALSE,1064020575.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1064021565.0,0.0,3.0
12.0,12.0,13.0,7.0,48.0,3.0,45.0,0.0,182.0,14.0,135.0,18.0,95.0,29.0,81.0,111.0,18.0,93.0,16.0,16.0,17.0,0.21,37.0,37.0,40.0,22.0,FALSE,1064180205.0,0.0,0.0
5.0,4.0,6.0,2.0,32.0,5.0,23.0,4.0,2045.0,365.0,1326.0,313.0,840.0,320.0,632.0,868.0,200.0,668.0,42.0,31.0,61.0,0.24,262.0,251.0,315.0,134.0,TRUE,1064269530.0,0.0,3.0
4.0,4.0,5.0,3.0,44.0,6.0,24.0,12.0,179.0,23.0,71.0,23.0,39.0,60.0,36.0,47.0,12.0,35.0,7.0,7.0,9.0,0.85,11.0,11.0,14.0,9.0,TRUE,1064276548.0,0.0,3.0
5.0,5.0,6.0,3.0,36.0,5.0,26.0,4.0,4619.0,675.0,3010.0,684.0,2037.0,625.0,1312.0,1828.0,420.0,1408.0,36.0,36.0,49.0,0.21,550.0,550.0,649.0,342.0,TRUE,1064276619.0,0.0,3.0
2.0,2.0,3.0,1.0,20.0,3.0,14.0,3.0,753.0,145.0,451.0,147.0,253.0,157.0,220.0,287.0,108.0,179.0,7.0,7.0,8.0,0.35,70.0,70.0,74.0,44.0,TRUE,1064276665.0,0.0,3.0
22.0,22.0,26.0,1.0,94.0,10.0,84.0,0.0,148.0,19.0,84.0,3.0,68.0,40.0,46.0,65.0,4.0,61.0,22.0,22.0,26.0,0.48,22.0,22.0,26.0,1.0,FALSE,1064277086.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,1064277673.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,1064277699.0,0.0,0.0
1.0,1.0,1.0,1.0,8.0,1.0,8.0,0.0,55.0,7.0,31.0,13.0,21.0,15.0,14.0,17.0,5.0,12.0,1.0,1.0,1.0,0.48,3.0,3.0,3.0,3.0,TRUE,1064394278.0,0.0,3.0
2.0,2.0,2.0,1.0,10.0,1.0,9.0,0.0,74.0,10.0,43.0,19.0,25.0,15.0,18.0,23.0,8.0,15.0,2.0,2.0,2.0,0.35,6.0,6.0,6.0,4.0,FALSE,1064396034.0,0.0,0.0
4.0,4.0,4.0,3.0,23.0,2.0,19.0,1.0,317.0,38.0,220.0,39.0,128.0,55.0,115.0,157.0,36.0,121.0,8.0,8.0,9.0,0.25,42.0,42.0,43.0,36.0,FALSE,1064405395.0,0.0,0.0
10.0,10.0,21.0,1.0,89.0,12.0,49.0,12.0,143.0,19.0,49.0,3.0,37.0,30.0,16.0,25.0,3.0,22.0,10.0,10.0,21.0,0.61,10.0,10.0,21.0,1.0,FALSE,1064410747.0,0.0,0.0
2.0,2.0,3.0,1.0,14.0,1.0,13.0,0.0,227.0,36.0,67.0,22.0,36.0,123.0,42.0,54.0,14.0,40.0,4.0,4.0,4.0,1.84,12.0,12.0,14.0,9.0,FALSE,1064426049.0,0.0,0.0
5.0,4.0,6.0,1.0,33.0,2.0,26.0,2.0,585.0,60.0,383.0,57.0,279.0,45.0,232.0,308.0,56.0,252.0,42.0,30.0,44.0,0.12,76.0,62.0,80.0,23.0,TRUE,1064427352.0,0.0,3.0
4.0,4.0,4.0,1.0,24.0,2.0,19.0,0.0,291.0,41.0,177.0,37.0,113.0,32.0,108.0,140.0,37.0,103.0,13.0,13.0,16.0,0.18,32.0,32.0,38.0,12.0,TRUE,1064428306.0,0.0,3.0
