@RELATION EQ

@ATTRIBUTE CountDeclMethodPrivate NUMERIC
@ATTRIBUTE AvgLineCode NUMERIC
@ATTRIBUTE CountLine NUMERIC
@ATTRIBUTE MaxCyclomatic NUMERIC
@ATTRIBUTE CountDeclMethodDefault NUMERIC
@ATTRIBUTE AvgEssential NUMERIC
@ATTRIBUTE CountDeclClassVariable NUMERIC
@ATTRIBUTE SumCyclomaticStrict NUMERIC
@ATTRIBUTE AvgCyclomatic NUMERIC
@ATTRIBUTE AvgLine NUMERIC
@ATTRIBUTE CountDeclClassMethod NUMERIC
@ATTRIBUTE AvgLineComment NUMERIC
@ATTRIBUTE AvgCyclomaticModified NUMERIC
@ATTRIBUTE CountDeclFunction NUMERIC
@ATTRIBUTE CountLineComment NUMERIC
@ATTRIBUTE CountDeclClass NUMERIC
@ATTRIBUTE CountDeclMethod NUMERIC
@ATTRIBUTE SumCyclomaticModified NUMERIC
@ATTRIBUTE CountLineCodeDecl NUMERIC
@ATTRIBUTE CountDeclMethodProtected NUMERIC
@ATTRIBUTE CountDeclInstanceVariable NUMERIC
@ATTRIBUTE MaxCyclomaticStrict NUMERIC
@ATTRIBUTE CountDeclMethodPublic NUMERIC
@ATTRIBUTE CountLineCodeExe NUMERIC
@ATTRIBUTE SumCyclomatic NUMERIC
@ATTRIBUTE SumEssential NUMERIC
@ATTRIBUTE CountStmtDecl NUMERIC
@ATTRIBUTE CountLineCode NUMERIC
@ATTRIBUTE CountStmtExe NUMERIC
@ATTRIBUTE RatioCommentToCode NUMERIC
@ATTRIBUTE CountLineBlank NUMERIC
@ATTRIBUTE CountStmt NUMERIC
@ATTRIBUTE MaxCyclomaticModified NUMERIC
@ATTRIBUTE CountSemicolon NUMERIC
@ATTRIBUTE AvgLineBlank NUMERIC
@ATTRIBUTE CountDeclInstanceMethod NUMERIC
@ATTRIBUTE AvgCyclomaticStrict NUMERIC
@ATTRIBUTE PercentLackOfCohesion NUMERIC
@ATTRIBUTE MaxInheritanceTree NUMERIC
@ATTRIBUTE CountClassDerived NUMERIC
@ATTRIBUTE CountClassCoupled NUMERIC
@ATTRIBUTE CountClassBase NUMERIC
@ATTRIBUTE CountInput_Max NUMERIC
@ATTRIBUTE CountInput_Mean NUMERIC
@ATTRIBUTE CountInput_Min NUMERIC
@ATTRIBUTE CountOutput_Max NUMERIC
@ATTRIBUTE CountOutput_Mean NUMERIC
@ATTRIBUTE CountOutput_Min NUMERIC
@ATTRIBUTE CountPath_Max NUMERIC
@ATTRIBUTE CountPath_Mean NUMERIC
@ATTRIBUTE CountPath_Min NUMERIC
@ATTRIBUTE MaxNesting_Max NUMERIC
@ATTRIBUTE MaxNesting_Mean NUMERIC
@ATTRIBUTE MaxNesting_Min NUMERIC
@ATTRIBUTE COMM NUMERIC
@ATTRIBUTE ADEV NUMERIC
@ATTRIBUTE DDEV NUMERIC
@ATTRIBUTE Added_lines NUMERIC
@ATTRIBUTE Del_lines NUMERIC
@ATTRIBUTE OWN_LINE NUMERIC
@ATTRIBUTE OWN_COMMIT NUMERIC
@ATTRIBUTE MINOR_COMMIT NUMERIC
@ATTRIBUTE MINOR_LINE NUMERIC
@ATTRIBUTE MAJOR_COMMIT NUMERIC
@ATTRIBUTE MAJOR_LINE NUMERIC
@ATTRIBUTE contains_bug {FALSE,TRUE}
@ATTRIBUTE author_date_unix_timestamp NUMERIC
@ATTRIBUTE project_no NUMERIC
@ATTRIBUTE commit_type NUMERIC

@DATA
0.0,10.0,171.0,5.0,0.0,2.0,0.0,18.0,2.0,18.0,0.0,6.0,2.0,7.0,62.0,1.0,7.0,17.0,25.0,7.0,3.0,6.0,0.0,49.0,17.0,11.0,26.0,88.0,37.0,0.7,21.0,63.0,5.0,46.0,1.0,7.0,3.0,61.0,2.0,1.0,2.0,1.0,5.0,2.714286,1.0,10.0,4.714286,1.0,5.0,2.428571,1.0,4.0,1.4,0.0,1.0,1.0,1.0,32.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143467626.0,0.0,0.0
0.0,8.0,123.0,5.0,0.0,1.0,1.0,15.0,3.0,17.0,0.0,8.0,3.0,5.0,57.0,1.0,5.0,13.0,17.0,4.0,2.0,7.0,1.0,32.0,13.0,7.0,17.0,53.0,24.0,1.08,13.0,41.0,5.0,29.0,0.0,5.0,3.0,73.0,1.0,4.0,2.0,2.0,7.0,3.2,1.0,9.0,3.6,0.0,5.0,2.6,1.0,2.0,1.285714,0.0,2.0,2.0,2.0,30.0,28.0,0.98374,0.5,0.0,1.0,2.0,1.0,FALSE,1143489078.0,0.0,0.0
0.0,7.0,136.0,5.0,0.0,1.0,1.0,16.0,2.0,13.0,0.0,5.0,2.0,7.0,56.0,1.0,7.0,15.0,20.0,7.0,2.0,6.0,0.0,31.0,15.0,7.0,20.0,65.0,26.0,0.86,16.0,46.0,5.0,30.0,0.0,7.0,2.0,76.0,2.0,5.0,1.0,1.0,7.0,4.0,2.0,10.0,3.142857,1.0,9.0,2.714286,1.0,2.0,1.111111,0.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143528058.0,0.0,0.0
0.0,29.0,241.0,17.0,0.0,4.0,5.0,29.0,9.0,53.0,0.0,15.0,9.0,3.0,67.0,1.0,3.0,26.0,36.0,3.0,5.0,20.0,0.0,106.0,26.0,12.0,36.0,143.0,54.0,0.47,35.0,90.0,17.0,64.0,8.0,3.0,10.0,53.0,3.0,0.0,4.0,1.0,13.0,7.333333,1.0,16.0,10.0,1.0,17.0,9.333333,1.0,3.0,2.4,0.0,1.0,1.0,1.0,76.0,76.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143528343.0,0.0,0.0
0.0,24.0,212.0,17.0,0.0,3.0,5.0,26.0,8.0,44.0,0.0,13.0,8.0,3.0,57.0,1.0,3.0,23.0,33.0,3.0,5.0,20.0,0.0,93.0,23.0,9.0,34.0,126.0,44.0,0.45,29.0,78.0,17.0,56.0,5.0,3.0,9.0,63.0,3.0,0.0,4.0,1.0,13.0,6.333333,1.0,13.0,9.0,1.0,17.0,8.333333,1.0,3.0,2.4,0.0,1.0,1.0,1.0,76.0,76.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143528575.0,0.0,0.0
0.0,21.0,73.0,3.0,0.0,3.0,0.0,3.0,3.0,32.0,0.0,9.0,3.0,1.0,25.0,1.0,1.0,3.0,11.0,1.0,1.0,3.0,0.0,30.0,3.0,3.0,11.0,41.0,11.0,0.61,7.0,22.0,3.0,19.0,2.0,1.0,3.0,100.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,24.0,23.0,0.671233,1.0,0.0,2.0,1.0,0.0,FALSE,1143562674.0,0.0,0.0
0.0,1.0,29.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,21.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,4.2,3.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143564801.0,0.0,0.0
0.0,6.0,62.0,2.0,0.0,1.0,0.0,3.0,2.0,10.0,0.0,4.0,2.0,2.0,24.0,1.0,2.0,3.0,12.0,2.0,1.0,2.0,0.0,17.0,3.0,2.0,11.0,31.0,6.0,0.77,7.0,17.0,2.0,13.0,0.0,2.0,2.0,50.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,3.5,1.0,2.0,1.5,1.0,1.0,0.75,0.0,1.0,1.0,1.0,17.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143564900.0,0.0,0.0
0.0,13.0,183.0,7.0,0.0,2.0,0.0,19.0,3.0,23.0,0.0,7.0,3.0,5.0,55.0,1.0,5.0,17.0,33.0,3.0,3.0,9.0,2.0,70.0,17.0,9.0,35.0,106.0,32.0,0.52,22.0,67.0,7.0,52.0,1.0,5.0,4.0,73.0,3.0,0.0,3.0,1.0,5.0,2.8,1.0,13.0,7.8,1.0,9.0,4.0,1.0,4.0,2.142857,0.0,1.0,1.0,1.0,56.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,FALSE,1143640684.0,0.0,0.0
0.0,28.0,228.0,18.0,0.0,4.0,1.0,25.0,7.0,42.0,0.0,10.0,7.0,3.0,49.0,1.0,3.0,22.0,39.0,3.0,4.0,21.0,0.0,122.0,22.0,13.0,36.0,158.0,50.0,0.31,21.0,86.0,18.0,64.0,3.0,3.0,8.0,46.0,3.0,1.0,2.0,1.0,7.0,4.333333,1.0,15.0,7.666667,1.0,22.0,8.666667,1.0,2.0,1.6,0.0,1.0,1.0,1.0,86.0,94.0,0.964912,1.0,0.0,1.0,1.0,1.0,FALSE,1143640801.0,0.0,0.0
