@RELATION data

@ATTRIBUTE CountDeclMethodPrivate NUMERIC
@ATTRIBUTE AvgLineCode NUMERIC
@ATTRIBUTE CountLine NUMERIC
@ATTRIBUTE MaxCyclomatic NUMERIC
@ATTRIBUTE CountDeclMethodDefault NUMERIC
@ATTRIBUTE AvgEssential NUMERIC
@ATTRIBUTE CountDeclClassVariable NUMERIC
@ATTRIBUTE SumCyclomaticStrict NUMERIC
@ATTRIBUTE AvgCyclomatic NUMERIC
@ATTRIBUTE AvgLine NUMERIC
@ATTRIBUTE CountDeclClassMethod NUMERIC
@ATTRIBUTE AvgLineComment NUMERIC
@ATTRIBUTE AvgCyclomaticModified NUMERIC
@ATTRIBUTE CountDeclFunction NUMERIC
@ATTRIBUTE CountLineComment NUMERIC
@ATTRIBUTE CountDeclClass NUMERIC
@ATTRIBUTE CountDeclMethod NUMERIC
@ATTRIBUTE SumCyclomaticModified NUMERIC
@ATTRIBUTE CountLineCodeDecl NUMERIC
@ATTRIBUTE CountDeclMethodProtected NUMERIC
@ATTRIBUTE CountDeclInstanceVariable NUMERIC
@ATTRIBUTE MaxCyclomaticStrict NUMERIC
@ATTRIBUTE CountDeclMethodPublic NUMERIC
@ATTRIBUTE CountLineCodeExe NUMERIC
@ATTRIBUTE SumCyclomatic NUMERIC
@ATTRIBUTE SumEssential NUMERIC
@ATTRIBUTE CountStmtDecl NUMERIC
@ATTRIBUTE CountLineCode NUMERIC
@ATTRIBUTE CountStmtExe NUMERIC
@ATTRIBUTE RatioCommentToCode NUMERIC
@ATTRIBUTE CountLineBlank NUMERIC
@ATTRIBUTE CountStmt NUMERIC
@ATTRIBUTE MaxCyclomaticModified NUMERIC
@ATTRIBUTE CountSemicolon NUMERIC
@ATTRIBUTE AvgLineBlank NUMERIC
@ATTRIBUTE CountDeclInstanceMethod NUMERIC
@ATTRIBUTE AvgCyclomaticStrict NUMERIC
@ATTRIBUTE PercentLackOfCohesion NUMERIC
@ATTRIBUTE MaxInheritanceTree NUMERIC
@ATTRIBUTE CountClassDerived NUMERIC
@ATTRIBUTE CountClassCoupled NUMERIC
@ATTRIBUTE CountClassBase NUMERIC
@ATTRIBUTE CountInput_Max NUMERIC
@ATTRIBUTE CountInput_Mean NUMERIC
@ATTRIBUTE CountInput_Min NUMERIC
@ATTRIBUTE CountOutput_Max NUMERIC
@ATTRIBUTE CountOutput_Mean NUMERIC
@ATTRIBUTE CountOutput_Min NUMERIC
@ATTRIBUTE CountPath_Max NUMERIC
@ATTRIBUTE CountPath_Mean NUMERIC
@ATTRIBUTE CountPath_Min NUMERIC
@ATTRIBUTE MaxNesting_Max NUMERIC
@ATTRIBUTE MaxNesting_Mean NUMERIC
@ATTRIBUTE MaxNesting_Min NUMERIC
@ATTRIBUTE COMM NUMERIC
@ATTRIBUTE ADEV NUMERIC
@ATTRIBUTE DDEV NUMERIC
@ATTRIBUTE Added_lines NUMERIC
@ATTRIBUTE Del_lines NUMERIC
@ATTRIBUTE OWN_LINE NUMERIC
@ATTRIBUTE OWN_COMMIT NUMERIC
@ATTRIBUTE MINOR_COMMIT NUMERIC
@ATTRIBUTE MINOR_LINE NUMERIC
@ATTRIBUTE MAJOR_COMMIT NUMERIC
@ATTRIBUTE MAJOR_LINE NUMERIC
@ATTRIBUTE contains_bug {FALSE,TRUE}
@ATTRIBUTE author_date_unix_timestamp NUMERIC
@ATTRIBUTE project_no NUMERIC
@ATTRIBUTE commit_type NUMERIC

@DATA
0,3,14,1,0,1,0,2,1,3,0,0,1,2,1,1,2,2,4,0,0,1,2,2,2,2,4,9,2,0.11,4,6,1,3,0,2,1,0,2,0,1,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,3,50,2,1,1,0,6,2,3,0,0,2,4,20,1,4,6,15,0,0,2,3,4,6,4,10,24,4,0.83,6,14,2,9,0,4,2,0,3,0,2,2,2,1.25,1,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0.9,0,0,2,0,0,FALSE,1e+09,4,0
0,5,61,2,0,1,0,7,2,5,0,0,2,4,22,1,4,7,14,1,0,2,3,10,7,4,10,32,10,0.69,7,20,2,12,0,4,2,0,2,0,1,1,3,2,1,2,2,2,2,1.75,1,1,0.833333,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,6,225,8,0,1,1,37,2,6,0,0,2,20,43,2,20,33,63,5,6,11,15,69,33,24,46,151,53,0.28,31,99,8,67,0,20,2,76,3,2,4,2,7,3.35,1,7,2.6,1,8,1.6,1,1,0.304348,0,0,0,0,0,0,0.462222,0,0,4,0,1,FALSE,1e+09,4,0
0,7,68,1,0,1,0,2,1,17,0,9,1,2,38,1,2,2,14,0,0,1,2,10,2,2,14,21,4,1.81,9,18,1,15,1,2,1,0,2,0,1,1,0,0,0,6,6,6,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,5,64,2,0,1,0,6,2,5,0,0,2,4,21,1,4,6,17,0,3,2,4,9,6,4,16,33,9,0.64,10,25,2,18,0,4,2,58,1,0,0,2,2,1.5,1,2,1.75,1,2,1.5,1,1,0.666667,0,0,0,0,0,0,0.96875,0,0,1,0,1,FALSE,1e+09,4,0
5,15,377,4,0,1,1,26,2,19,0,2,2,17,60,7,17,26,108,1,1,4,11,180,26,17,91,280,96,0.21,40,187,4,157,1,17,2,66,3,0,15,2,10,2.23529,0,34,7.23529,1,6,1.70588,1,2,0.52,0,2,2,1,119,33,0.360743,1,0,3,1,0,FALSE,1e+09,4,0
0,3,43,1,1,1,0,2,1,3,0,0,1,2,21,1,2,2,10,0,1,1,1,3,2,2,7,16,3,1.31,6,10,1,7,0,2,1,0,4,0,1,2,2,1.5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,3,40,1,0,1,1,4,1,3,0,0,1,4,17,1,4,4,7,0,0,1,4,5,4,4,7,16,4,1.06,7,11,1,6,0,4,1,100,2,0,0,1,2,1.5,1,1,1,1,1,1,1,7,1,0,1,1,1,21,0,0.525,1,0,2,1,0,FALSE,1e+09,4,0
0,5,59,2,0,1,0,4,1,5,0,0,1,3,21,1,3,4,18,0,1,2,3,9,4,3,13,31,7,0.68,7,20,2,15,0,3,1,66,2,0,6,1,3,2.33333,2,3,2,1,2,1.33333,1,1,0.6,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,12,179,1,2,1,0,8,1,15,0,1,1,8,26,4,8,8,64,0,3,1,6,78,8,8,55,123,41,0.21,30,96,1,84,1,8,1,0,2,0,15,1,5,3.25,1,15,7.5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,TRUE,1e+09,4,3
0,1,44,1,1,1,0,1,1,11,0,10,1,1,30,1,1,1,7,0,0,1,0,0,1,1,6,8,0,3.75,6,6,1,5,0,1,1,0,0,2,1,0,31,31,31,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.977273,0,0,1,0,1,FALSE,1e+09,4,0
1,4,76,3,0,2,2,11,2,4,2,0,2,5,20,2,7,11,20,0,5,3,6,16,11,11,18,43,12,0.47,13,30,3,18,0,5,2,100,1,0,1,1,3,2,0,5,2.28571,1,3,1.28571,0,2,0.8,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
2,7,421,16,0,2,1,93,2,7,2,0,2,42,42,2,42,67,91,1,2,16,39,191,93,72,92,331,141,0.13,48,233,4,164,0,40,2,79,1,0,6,2,17,3.04762,0,15,3.11905,1,16,2.30952,1,3,0.555556,0,0,0,0,0,0,0.928741,0,0,2,0,1,FALSE,1e+09,4,0
0,5,46,2,0,1,0,4,1,5,0,0,1,3,17,1,3,4,10,1,0,2,2,10,4,3,6,24,9,0.71,5,15,2,10,0,3,1,0,3,0,0,1,2,0.666667,0,3,1.66667,1,2,1.33333,1,1,0.6,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
0,4,268,4,0,1,0,61,2,4,0,0,2,36,17,7,36,61,67,0,12,4,36,84,61,36,66,206,79,0.08,45,145,4,89,0,36,2,33,2,0,2,2,4,1.66667,0,6,2.30556,1,4,1.36111,1,2,0.590909,0,0,0,0,0,0,0.656716,0,0,3,0,3,FALSE,1e+09,4,0
0,2,33,1,0,1,1,1,1,2,0,0,1,1,21,1,1,1,6,0,0,1,1,1,1,1,5,8,0,2.62,4,5,1,3,0,1,1,100,1,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.757576,0,0,2,0,0,FALSE,1e+09,4,0
0,1,28,1,0,1,0,1,1,4,0,3,1,1,20,1,1,1,3,0,0,1,1,0,1,1,3,4,0,5,4,3,1,2,0,1,1,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
116,36,8454,49,9,2,1,1262,7,49,14,7,6,162,1285,7,162,1019,1934,1,39,65,36,4663,1090,346,1729,6225,2600,0.21,970,4329,49,3217,4,148,8,95,2,0,181,2,47,8.59259,1,124,16.0988,1,2.12129e+07,180206,1,8,1.94152,0,20,20,7,763,448,0.365799,0.45,0,4,7,12,TRUE,1e+09,4,3
0,2,56,1,0,1,1,6,1,2,0,0,1,6,21,1,6,6,13,0,2,1,6,7,6,6,12,25,5,0.84,10,17,1,10,0,6,1,72,1,0,0,2,2,1.5,0,2,1.16667,1,1,1,1,0,0,0,0,0,0,0,0,0.392857,0,0,4,0,0,FALSE,1e+09,4,0
2,50,406,23,0,2,1,67,9,58,0,6,9,6,57,1,6,52,76,0,1,31,4,238,52,10,68,326,141,0.17,25,209,23,156,2,6,11,66,1,0,14,2,10,4.66667,1,47,17.1667,1,33024,6551.67,1,4,2.25,0,5,5,3,165,10,0.46798,0.6,0,3,3,4,TRUE,1e+09,4,3
1,8,614,10,0,1,1,100,2,11,0,2,2,43,142,1,43,94,128,0,6,10,42,222,94,50,115,407,157,0.35,67,272,10,176,0,43,2,84,1,1,19,2,27,6.13954,0,24,4.83721,1,15,2.86047,1,4,0.844444,0,3,3,3,5,4,0.247557,0.333333,0,5,3,6,TRUE,1e+09,4,3
0,5,94,5,0,1,0,9,2,7,0,1,2,5,39,1,5,9,19,0,2,5,5,14,9,5,18,41,11,0.95,14,29,5,20,0,5,2,40,2,0,0,1,3,1.6,1,7,2.2,1,8,2.4,1,4,0.875,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,1e+09,4,0
3,6,122,3,0,1,2,14,2,6,0,0,2,9,21,1,9,14,42,1,1,3,5,37,14,13,35,87,25,0.24,14,60,3,45,0,9,2,88,2,0,12,1,5,1.77778,0,8,3.11111,0,3,1.55556,1,2,0.727273,0,1,1,1,4,21,0.327869,1,0,4,1,3,FALSE,1e+09,4,0
2,6,316,5,1,1,4,63,2,7,3,0,2,30,26,2,32,59,71,0,5,9,29,124,59,44,64,242,101,0.11,51,165,5,105,0,29,2,87,2,0,1,4,13,3.3125,0,8,2.125,0,7,1.875,0,5,0.888889,0,0,0,0,0,0,0.449367,0,0,4,0,0,TRUE,1e+09,4,3
0,3,120,1,0,1,0,16,1,3,0,0,1,16,27,1,16,16,27,0,7,1,16,23,16,16,25,67,23,0.4,26,48,1,31,0,16,1,81,1,0,0,1,8,2.25,0,8,1.4375,1,1,1,1,0,0,0,1,1,1,12,12,0.9,1,0,2,1,0,FALSE,1e+09,4,0
0,11,73,5,0,2,1,8,3,11,0,0,3,2,21,1,2,6,22,0,4,7,2,20,6,4,18,43,13,0.49,9,31,5,24,0,2,4,50,2,0,0,1,7,3.5,0,13,7,1,5,3,1,2,1.5,0,0,0,0,0,0,0.438356,0,0,3,0,1,FALSE,1e+09,4,0
0,10,74,2,0,1,1,3,2,18,0,8,2,2,38,1,2,3,15,0,0,2,2,17,3,2,14,29,9,1.31,7,23,2,19,0,2,2,0,1,0,1,2,2,2,2,5,4.5,4,2,1.5,1,1,0.75,0,0,0,0,0,0,0.567568,0,0,3,0,0,FALSE,1e+09,4,0
1,4,76,1,0,1,0,5,1,6,2,1,1,5,29,3,5,5,25,0,0,1,4,9,5,5,23,38,5,0.76,9,28,1,20,0,3,1,0,1,0,8,2,2,0.8,0,4,1.6,1,1,1,1,0,0,0,0,0,0,0,0,0.736842,0,0,2,0,0,FALSE,1e+09,4,0
