actual label,LOC,predicted label,probPos,
1,61,1,0.8626107871166482,
0,424,1,0.8608228899355819,
1,18,1,0.8815003353289436,
0,282,1,0.873467211158156,
0,259,1,0.8638894834139453,
0,264,1,0.8506457743413047,
0,609,1,0.8136772773395029,
0,104,1,0.8629928216279573,
0,263,1,0.8056429344261936,
0,364,1,0.8339740619011602,
0,83,1,0.8604317142163289,
1,223,1,0.8357834074711235,
0,169,1,0.8539380697280572,
1,203,1,0.833441783402056,
1,98,1,0.913156287949217,
0,24,1,0.9400305167685596,
0,27,1,0.9417918623768511,
1,108,1,0.8854078156796771,
1,8,1,0.9426003016591252,
1,21,1,0.9339183398217663,
1,5,1,0.9701382839769298,
1,193,1,0.9329677580203987,
1,16,1,0.9711603522398583,
1,73,1,0.9626923390706359,
1,49,1,0.9600821948626799,
1,32,1,0.9016099122096835,
1,121,1,0.83623606471562,
1,6,1,0.9146647290965376,
0,402,1,0.8415252110820152,
1,3,1,0.9430209120328985,
1,10,1,0.9423250163127312,
1,3,1,0.9436052649778887,
1,5,1,0.9433869523017187,
0,631,0,0.25238672873508117,
1,51,1,0.9328747289250788,
1,9,1,0.9430557558745566,
1,23,1,0.9389146725372883,
1,6,1,0.9433072417319701,
0,764,0,0.2181354118039832,
0,59,1,0.9416803042993924,
1,156,1,0.9372251827726972,
1,17,1,0.9413362790874107,
1,30,1,0.9422628012532801,
1,14,1,0.97142648697101,
0,17,1,0.9715827338129497,
0,477,1,0.8894363430671701,
0,133,1,0.9521854084149263,
0,135,1,0.9702058874548142,
1,41,1,0.9707681525451001,
0,121,1,0.9688589856311947,
0,28,1,0.971446244638881,
1,32,1,0.9612995225628429,
1,41,1,0.9556079962578972,
1,141,1,0.9718781075468776,
1,129,1,0.9547989808954449,
1,23,1,0.9999849099429442,
